Date,Open,High,Low,Close,Adj Close,Volume
2022-01-11,29.421488,29.752066,29.380165,29.752066,28.314085,5862003
2022-01-12,29.752066,30.041323,29.669420,30.041323,28.589361,9992188
2022-01-13,30.041323,30.371901,30.041323,30.330578,28.864635,8836108
2022-01-16,30.330578,30.661158,30.330578,30.371901,28.903963,4540152
2022-01-17,30.413223,30.578512,30.247932,30.495867,29.021936,5543157
2022-01-18,30.495867,30.578512,30.371901,30.413223,28.943287,3446885
2022-01-19,30.371901,30.454544,30.289255,30.330578,28.864635,2374174
2022-01-20,30.330578,30.454544,30.206612,30.454544,28.982613,2843756
2022-01-23,30.371901,30.371901,30.082644,30.165289,28.707335,2237392
2022-01-24,30.165289,30.206612,29.917355,30.000000,28.550035,3231124
2022-01-25,29.958677,30.247932,29.834709,30.247932,28.785984,2728437
2022-01-26,30.165289,30.495867,30.165289,30.495867,29.021936,3605337
2022-01-27,30.495867,30.495867,30.495867,30.495867,29.021936,0
2022-01-30,30.495867,30.867767,30.495867,30.702478,29.218561,5011571
2022-01-31,30.702478,30.991735,30.702478,30.867767,29.375862,7035574
2022-02-01,30.950413,30.991735,30.661158,30.785124,29.297213,4688510
2022-02-02,30.826447,30.991735,30.289255,30.371901,28.903963,6386366
2022-02-03,30.454544,30.578512,30.330578,30.495867,29.021936,2341339
2022-02-06,30.165289,30.454544,30.165289,30.413223,28.943287,3721232
2022-02-07,30.413223,30.619835,30.247932,30.619835,29.139915,4843454
2022-02-08,30.619835,31.033056,30.619835,30.785124,29.297213,6335674
2022-02-09,30.785124,30.785124,30.537189,30.702478,29.218561,2928391
2022-02-10,30.578512,30.909090,30.537189,30.826447,29.336538,4019989
2022-02-13,30.867767,30.991735,30.495867,30.619835,29.139915,7390719
2022-02-14,30.619835,30.826447,30.495867,30.826447,29.336538,5031474
2022-02-15,30.743801,30.991735,30.743801,30.826447,29.336538,6960615
2022-02-16,30.826447,31.198347,30.743801,31.198347,29.690464,10062856
2022-02-17,31.198347,31.322313,30.991735,31.198347,29.690464,11625549
2022-02-20,31.115702,31.322313,31.074381,31.157024,29.651140,6330190
2022-02-21,31.157024,33.223141,31.157024,32.438015,30.870216,48049145
2022-02-23,32.438015,33.553719,32.231403,33.512398,31.892673,34867798
2022-02-24,33.347107,34.917355,32.851238,34.173553,32.521873,55009065
2022-02-27,34.173553,34.669422,33.347107,33.842976,32.207272,29876642
2022-02-28,33.884296,34.338840,33.677685,34.338840,32.679173,29778557
2022-03-01,34.297520,34.504131,34.132233,34.256199,32.600525,15057987
2022-03-02,34.380165,35.661156,34.380165,35.578510,33.858929,47862502
2022-03-03,35.950413,37.190083,35.909088,36.611568,34.842052,38247268
2022-03-06,37.190083,37.314049,36.694214,36.859505,35.078007,29569318
2022-03-07,37.603306,38.016529,36.942146,37.024792,35.235306,36091703
2022-03-08,37.190083,37.355370,35.785122,36.859505,35.078007,29356481
2022-03-09,37.107437,37.148762,35.785122,35.785122,34.055550,16874180
2022-03-10,35.206612,35.413223,33.636364,33.966942,32.325249,45446981
2022-03-13,33.966942,34.421486,32.975204,33.016529,31.420769,24656964
2022-03-14,32.892563,33.429752,32.479340,32.479340,30.909544,29155972
2022-03-15,32.066116,32.396694,31.818180,32.024792,30.476969,14738124
2022-03-16,32.231403,33.884296,32.107437,33.884296,32.246597,23529578
2022-03-17,33.760330,34.586777,33.223141,34.586777,32.915131,27495657
2022-03-20,35.123966,36.280991,35.082645,35.743801,34.016228,27731094
2022-03-21,36.115704,36.115704,35.289257,35.495869,33.780277,19634980
2022-03-22,35.702480,35.702480,35.165291,35.619835,33.898251,11194097
2022-03-23,35.413223,35.413223,34.669422,35.206612,33.505001,11625262
2022-03-24,35.330578,35.619835,35.123966,35.206612,33.505001,7901457
2022-03-27,35.000000,35.123966,34.338840,34.586777,32.915131,12627460
2022-03-28,34.545452,34.834709,34.338840,34.752068,33.072422,8079047
2022-03-29,34.669422,34.710743,34.504131,34.628098,32.954445,5271077
2022-03-30,34.628098,34.710743,34.090908,34.462811,32.797150,5099495
2022-03-31,34.462811,35.619835,34.132233,35.619835,33.898251,14251226
2022-04-03,35.413223,35.619835,35.123966,35.454544,33.740944,7373116
2022-04-04,35.454544,35.454544,35.454544,35.454544,33.740944,0
2022-04-05,35.619835,35.661156,35.371899,35.537189,33.819603,5635854
2022-04-06,35.537189,35.619835,35.371899,35.537189,33.819603,7276769
2022-04-07,35.495869,35.495869,35.247932,35.413223,33.701626,4650972
2022-04-10,35.454544,35.537189,35.330578,35.371899,33.662300,3566496
2022-04-11,35.330578,35.537189,35.206612,35.289257,33.583652,5078893
2022-04-12,35.289257,36.074379,35.247932,35.537189,33.819603,12503670
2022-04-13,35.537189,35.619835,35.165291,35.247932,33.544327,6388738
2022-04-14,35.247932,35.537189,35.041321,35.537189,33.819603,5554319
2022-04-17,35.454544,35.454544,35.289257,35.330578,33.622978,3127790
2022-04-18,35.289257,35.454544,35.247932,35.371899,33.662300,2439598
2022-04-19,35.413223,35.495869,35.123966,35.123966,33.426350,6320639
2022-04-20,35.495869,35.867767,35.247932,35.867767,34.134201,17940938
2022-04-21,35.867767,35.991734,35.454544,35.537189,33.819603,8970735
2022-04-24,35.454544,35.537189,35.330578,35.537189,33.819603,3569825
2022-04-25,35.495869,35.537189,35.330578,35.454544,33.740944,5490722
2022-04-26,35.537189,35.867767,35.454544,35.826447,34.094875,8643264
2022-04-27,35.826447,36.942146,35.743801,36.652893,34.881382,15690322
2022-04-28,36.983471,37.107437,36.735538,37.107437,35.313957,15921136
2022-05-08,37.024792,38.099174,36.942146,37.892563,36.061131,16868487
2022-05-09,37.892563,38.223141,37.768597,37.975204,36.139782,15428569
2022-05-10,37.975204,38.181816,37.396694,37.975204,36.139782,11566972
2022-05-11,37.851238,38.140495,37.603306,37.603306,35.785858,8919220
2022-05-12,37.603306,37.603306,36.280991,36.942146,35.156654,16990323
2022-05-15,38.181816,39.000000,37.045452,38.500000,36.639214,18045682
2022-05-16,38.454544,39.409088,38.363636,38.636364,36.768982,18335066
2022-05-17,38.636364,38.636364,36.863636,37.454544,35.644283,18747976
2022-05-18,37.454544,37.454544,37.454544,37.454544,35.644283,0
2022-05-19,36.409088,36.590908,35.909088,36.136364,34.389820,13330533
2022-05-22,36.363636,36.454544,35.272728,35.636364,33.913982,8822931
2022-05-23,35.772728,35.909088,35.409088,35.909088,34.173527,7205157
2022-05-24,35.863636,36.545452,35.545452,36.500000,35.019398,12548662
2022-05-25,36.545452,37.500000,36.545452,37.272728,35.760780,8705368
2022-05-26,37.363636,37.681816,36.772728,37.000000,35.499119,8018908
2022-05-29,37.363636,37.727272,37.363636,37.590908,36.066051,8205951
2022-05-30,37.590908,37.954544,37.454544,37.681816,36.153278,11719717
2022-05-31,38.000000,38.181816,37.500000,38.090908,36.545773,35954528
2022-06-01,38.045452,38.045452,37.318180,37.318180,35.804394,5926800
2022-06-02,37.272728,37.272728,36.545452,36.545452,35.063007,6805777
2022-06-05,36.636364,37.045452,36.636364,36.954544,35.455505,4625700
2022-06-06,37.000000,37.318180,37.000000,37.272728,35.760780,5437804
2022-06-07,37.272728,37.318180,36.818180,36.818180,35.324673,3739451
2022-06-08,36.863636,37.136364,36.727272,36.909088,35.411900,2834378
2022-06-09,36.954544,37.090908,36.500000,36.727272,35.237450,5776926
2022-06-12,36.454544,36.454544,35.590908,35.636364,34.190804,8041691
2022-06-13,35.454544,36.000000,34.818180,35.818180,34.365242,10677861
2022-06-14,35.818180,36.000000,35.090908,35.500000,34.059967,6514281
2022-06-15,35.454544,35.636364,34.909088,34.954544,33.536636,6336284
2022-06-16,34.954544,35.409088,34.954544,35.000000,33.580246,9292529
2022-06-19,34.590908,34.636364,33.590908,33.590908,32.228317,9260147
2022-06-20,33.545452,34.000000,33.227272,33.545452,32.184700,8654467
2022-06-21,33.727272,34.363636,33.681816,34.090908,32.708031,6088788
2022-06-22,34.181816,34.181816,33.636364,33.818180,32.446369,4761763
2022-06-23,33.863636,34.181816,33.727272,33.818180,32.446369,5075703
